iter	MultiClass
0	0.9343985501
1	0.8141873627
2	0.7173728578
3	0.6381154401
4	0.5713945253
5	0.5154478844
6	0.4667052968
7	0.424544329
8	0.3876380029
9	0.3567444543
10	0.3281259113
11	0.3033167531
12	0.2818913909
13	0.2627176733
14	0.2449820007
15	0.2294684886
16	0.215492844
17	0.2028878292
18	0.1919041329
19	0.1818525136
20	0.1723807321
21	0.1635611381
22	0.1559139071
23	0.1492365723
24	0.1434460873
25	0.1379651192
26	0.1330010004
27	0.1281180638
28	0.1238413116
29	0.1196969684
30	0.1159488456
31	0.1123778974
32	0.1090676692
33	0.1061474525
34	0.10321416
35	0.1004932863
36	0.09854292468
37	0.09657879466
38	0.09463060297
39	0.09275750738
40	0.09091254345
41	0.08965384614
42	0.08845438195
43	0.08723887921
44	0.08608651506
45	0.08505541301
46	0.08401278267
47	0.08294677824
48	0.08211874751
49	0.08108519207
50	0.07990994723
51	0.07903033452
52	0.07796510756
53	0.07726070978
54	0.0766756948
55	0.07591632529
56	0.07551724322
57	0.07467619716
58	0.07406134392
59	0.07336189304
60	0.07285330087
61	0.0721695909
62	0.07154490547
63	0.07066332327
64	0.07016404795
65	0.06987493551
66	0.06948755522
67	0.06901358153
68	0.06865551924
69	0.06831696365
70	0.06797606869
71	0.06753974413
72	0.06708913621
73	0.06676719589
74	0.0663994666
75	0.06610619771
76	0.06545726607
77	0.06498199168
78	0.06459078981
79	0.06410215347
80	0.06364976154
81	0.06329940032
82	0.06295906181
83	0.06251330661
84	0.06203542261
85	0.06169635468
86	0.06122072602
87	0.0610023306
88	0.06073563563
89	0.0604347293
90	0.05992970893
91	0.05943464684
92	0.05906245734
93	0.05889828133
94	0.05849553504
95	0.0584091783
96	0.05822231515
97	0.05801057769
98	0.05762930882
99	0.05715604605
100	0.05692842657
101	0.05654233662
102	0.05626447493
103	0.05590672127
104	0.05563509761
105	0.05531123418
106	0.05500042408
107	0.05459385793
108	0.05435085434
109	0.05414350487
110	0.05382908187
111	0.05345171306
112	0.05320927296
113	0.05304266337
114	0.05271181683
115	0.05232704516
116	0.05206665438
117	0.05197083569
118	0.05183420322
119	0.05147436683
120	0.05115436064
121	0.05090957787
122	0.05063727994
123	0.05023049977
124	0.04995294128
125	0.04965361634
126	0.04922616384
127	0.04906258169
128	0.04875679871
129	0.0485840116
130	0.04827317996
131	0.04801853185
132	0.04779339979
133	0.04756648987
134	0.04740419561
135	0.04718744489
136	0.04681270039
137	0.04654205332
138	0.04634010012
139	0.04617667774
140	0.04597425014
141	0.04577384316
142	0.04550793911
143	0.04536141999
144	0.0451076442
145	0.0447802275
146	0.04463339573
147	0.04435921859
148	0.04408753927
149	0.04376668339
150	0.04357257973
151	0.0434656101
152	0.04323312423
153	0.04297726409
154	0.04274392082
155	0.0424546043
156	0.04224641663
157	0.04209695581
158	0.0418645416
159	0.04167190596
160	0.04151395968
161	0.04127465189
162	0.04108700441
163	0.04094124575
164	0.04076083677
165	0.04047913903
166	0.04018365844
167	0.03991147018
168	0.03978915048
169	0.03961325242
170	0.03942628928
171	0.03920543405
172	0.03906844396
173	0.03898404537
174	0.03881599119
175	0.03874634525
176	0.03860321492
177	0.03838646111
178	0.03816197406
179	0.03802131731
180	0.03793124594
181	0.03781369565
182	0.03764757947
183	0.03741270082
184	0.03725958273
185	0.03704055219
186	0.03692777935
187	0.03678480881
188	0.03670321887
189	0.03655366871
190	0.03622558478
191	0.03607433498
192	0.03597150767
193	0.03577336401
194	0.03562566898
195	0.03547169323
196	0.03537838559
197	0.0352538668
198	0.03508963454
199	0.03496493278
200	0.03475799896
201	0.03452143593
202	0.03445229636
203	0.03423029622
204	0.03402845206
205	0.03396475788
206	0.03390753961
207	0.03378185721
208	0.03358856853
209	0.03344559545
210	0.03333424659
211	0.03316789748
212	0.03307290618
213	0.03279808061
214	0.03269203445
215	0.03257382358
216	0.03240877149
217	0.03217253526
218	0.03207982019
219	0.03194233542
220	0.0317653178
221	0.03163918244
222	0.03153938076
223	0.03144120161
224	0.03127238481
225	0.03119485996
226	0.031068865
227	0.03099139521
228	0.03078982828
229	0.03068518488
230	0.03056519955
231	0.03050875687
232	0.03043047741
233	0.03031385105
234	0.03025056656
235	0.03005999156
236	0.02994511654
237	0.02984344977
238	0.02967008713
239	0.02949722071
240	0.02941941353
241	0.02934242084
242	0.02919005223
243	0.02910305765
244	0.02902168268
245	0.0289339562
246	0.02886435716
247	0.02880187194
248	0.02862077345
249	0.02851742437
250	0.02842621674
251	0.02831381753
252	0.02819800913
253	0.02804191402
254	0.02797670752
255	0.02794390689
256	0.02782063812
257	0.02768104802
258	0.02757286754
259	0.0274765894
260	0.02741539795
261	0.02739909348
262	0.02734429704
263	0.02720597421
264	0.02711005866
265	0.02701217394
266	0.02694651329
267	0.0268584602
268	0.02683685874
269	0.0267297947
270	0.02668932517
271	0.02660523891
272	0.02653250252
273	0.02643342264
274	0.02634572472
275	0.02629352988
276	0.02625623805
277	0.02620392265
278	0.02609140967
279	0.0259997699
280	0.02587110731
281	0.02581468829
282	0.02574071611
283	0.02570136968
284	0.02561218416
285	0.02547190041
286	0.02537816764
287	0.02527282577
288	0.02524122787
289	0.02510504348
290	0.02490928883
291	0.02484019127
292	0.02474105979
293	0.02468457152
294	0.02460262691
295	0.02446582926
296	0.02442379626
297	0.02436628761
298	0.02430231894
299	0.0242225698
